Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
Playboi Carti,"⭐ Had 2
(prod. MexikoDro)","Track 15 off Playboi Carti's self titled album ""Playboi Carti"".",2:19,"Apr 14, 2017",Album Track,Yes,https://open.spotify.com/track/2mkV4angeBLZPTcYOSrjee?si=0d9a5d43f6844fc3
,"16*29 [V1]
(Collaboration with Lil Uzi Vert)","(Mid 2017) (The project is concieved)
(May 11, 2018) (Playboi Carti releases ""Die Lit"")
(June 19th, 2018) (DP Beats released ""Bankroll"" to his streaming pages)
(July 30th, 2018) (Carti states in a radio show interview that him and uzi have like 'over 100 songs' since 2015)
(September 25th, 2018) (Chinatown releases Squad before it gets taken down, project likely scrapped around this time)",,,,,
16*29 [V1],"⭐ Chinatown - FIREARM
(feat. Offset) (prod. Chinatown)
(I'M WIT' THE SQUAD, Squad)","Released by Chinatown on December 3rd, 2017 onto his Soundcloud under the name 'I'M WIT' THE SQUAD'. Also was released on streaming under the name 'FIREARM' on 9/25/18 before being quickly taken down, likely because Carti and Uzi did not clear their verses. The internet archive has a 30 second snippet from spotify that still works. The song remains up on Chinatowns soundcloud. It's a stem edit created by Chinatown and Velo.",3:21,"Sep 25, 2018",Feature,Exclusive,"https://pillows.su/f/b2dc3eab906d53235ac9fbef724dbdf3
https://soundcloud.com/chinatownbeats/im-wit-the-squad-prod-by-chinatown
https://soundcloud.com/chinatownbeats/playboi-carti-lil-uzi-vert-prod-by-chinatown
https://open.spotify.com/album/2EUyPEICEMo2XEHEpuvvWM
https://web.archive.org/web/20200501233325/https://open.spotify.com/track/6wtlRKnXXezRODFz9jXwXI"
16*29 [V1],"⭐ Bankroll
(prod. DP Beats)
(Yea Yea)","Released as a single on Feb 20, 2018, later as Track 6 on DPONTHEBEAT VOL. 3",3:15,"Feb 20, 2018",Feature,Yes,https://open.spotify.com/track/4ArSKuz3kUmThkw9uvAEJQ?si=1f3acb9b4f954f8d
16*29 [V1],"Swoosh God - Like I'm Swoosh
(feat. Lil Uzi Vert) (prod. Pi'erre Bourne)
(X Candy)","Original version of the song, with no Carti verse. Was track 1 on Swoosh Gods album 'Controversy' before being deleted, but was later reposted by Swoosh God in 2022.",1:33,"Feb 6, 2020
Apr 18, 2022",Feature,No,"https://soundcloud.com/swoosh516/like-im-swoosh-ft-lil-uzi-vert
https://soundcloud.com/swoosh516/like-im-swoosh-feat-lil-uzi-vert"
,Die Lit,"(April 14, 2017) Playboi Carti releases ""Playboi Carti""
(May 11, 2018) Playboi Carti releases ""Die Lit""",,,,,
Die Lit,"Gunna - YSL
(feat. Playboi Carti)","Track 12 off Gunna's album ""Drip Season 2"".",2:36,"May 11, 2017",Feature,Yes,https://open.spotify.com/track/6DXUcykWTq6sRARrOAE2Lc?si=6e23f412be744e62
Die Lit,"⭐ Travis Scott - Green & Purple
(feat. Playboi Carti) (prod. TIGGI & Sevn Thomas)",Single released by Travis Scott on Soundcloud.,4:38,"May 16, 2017",Feature,No,https://soundcloud.com/travisscott-2/green-purple
Die Lit,"A$AP Mob - RAF
(feat. Frank Ocean, A$AP Rocky, Playboi Carti, Quavo & Lil Uzi Vert) (prod. DunDeal)","Single released by A$AP Mob. Later Track 16 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",4:15,"May 15, 2017",Feature,Yes,https://open.spotify.com/track/6kl1qtQXQsFiIWRBK24Cfp?si=544ae715d28e461e
Die Lit,"NAV & Metro Boomin - Minute
(feat. Playboi Carti & Offset) (prod. Metro Boomin & NAV)","Track 6 off NAV & Metro Boomin's mixtape ""Perfect Timing"".",4:25,"Jul 21, 2017",Feature,Yes,https://open.spotify.com/track/3JWh19WsndEFg0UFRFeTiU?si=86a993a130b84771
Die Lit,"Lana Del Rey - Summer Bummer
(feat. A$AP Rocky & Playboi Carti) (prod. Boi-1da, Jahaan Sweet & Rick Nowels)","Track 6 off Lana Del Rey's album ""Lust For Life"" featuring A$AP Rocky and Playboi Carti.",4:20,"Jul 21, 2017",Feature,Yes,https://open.spotify.com/track/5QqyRUZeBE04yJxsD1OC0I?si=3e0662a57dc540ed
Die Lit,"Yung Gleesh - WWTW 
(feat. Playboi Carti & Lil Yachty) (prod. Pvps)","Released collaboration between Playboi Carti, Lil Yachty, & Yung Gleesh. Was released on SoundCloud, but later deleted for unknown reasons. Also for some reason has an open verse.",6:08,"Jul 29, 2017",Feature,No,https://soundcloud.com/yung-gleesh-1/wwtw-feat-playboicarti-lil-yachty-prod-yung-pvps?in=globalslime/sets/playboi-carti-comp
Die Lit,"MIlanMakesBeats - Butterfly Coupe [V2]
(feat. Playboi Carti & Yung Bans) (prod. MilanMakesBeats & Capsule Corp.)",Single released by MilanMakesBeats featuring Playboi Carti.,2:20,"Aug 5, 2017",Feature,Yes,https://open.spotify.com/track/2mj0QfvRqaaVKQ9OaC9GRS?si=df782ac3883349a0
Die Lit,"A$AP Ferg - Mad Man
(feat. Playboi Carti) (prod. Honorable C.N.O.T.E.)","Track 7 off A$AP Ferg's album ""Still Striving"".",2:39,"Aug 18, 2017",Feature,Yes,https://open.spotify.com/track/0EoJCSeuAq9Ilw2AesTBUu?si=58e57afeecf846ba
Die Lit,"A$AP Ferg - Mattress REMIX
(feat. A$AP Rocky, Playboi Carti, Rich The Kid & Famous Dex) (prod. Digital Nas)","Track 10 off A$AP Ferg's album ""Still Striving"".",4:32,"Aug 18, 2017",Feature,Yes,https://open.spotify.com/track/35fIdI07pqeNT7hyCBh1bN?si=19583a668668476d
Die Lit,"A$AP Mob - Perry Aye
(feat. A$AP Rocky, A$AP NAST, Playboi Carti & Jaden Smith) (prod. Pyroman & Djo Watt)","Track 2 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",2:26,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/0PDwNx6GrHc5sRVy6Hc7GP?si=a1d449b0002e46fe
Die Lit,"A$AP Mob - Blowin' Minds (Skateboard)
(feat. A$AP Rocky, A$AP NAST, A$AP ANT, Chief Keef & Playboi Carti) (prod. Pi'erre Bourne)","Track 4 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",3:27,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/3FUP0gYxsivCHzWzu8uUGw?si=fd1fdcf8bc5244fd
Die Lit,"A$AP Mob - Walk On Water
(feat. A$AP Twelvyy, A$AP ANT, A$AP NAST, A$AP Ferg & Playboi Carti) (prod. Hector Delgado)","Track 6 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",3:56,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/0WQcnrsEqrY2e5nexGe3HX?si=5b8cddd531e64249
Die Lit,"A$AP Mob - Get The Bag
(feat. A$AP Rocky, A$AP Twelvyy, A$AP ANT, A$AP NAST, A$AP TyY, Smooky MarGielaa & Playboi Carti) (prod. Zoneout Worldwide)","Track 8 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",4:16,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/2AyyImkxFBEhfPmIe46Ppl?si=70f15199fd5a49fe
Die Lit,"A$AP Mob - Frat Rules
(feat. A$AP Rocky, Big Sean & Playboi Carti) (prod. Hit-Boy & Southside)","Track 11 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",3:38,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/0RyA3o15NOLJYtm9NlDu5c?si=ee9ce54c843d40c2
Die Lit,"A$AP Mob - FYBR (First Year Being Rich)
(feat. A$AP Rocky, A$AP Twelvyy, A$AP ANT, A$AP Ferg, KEY! & Playboi Carti) (prod. Hector Delgado)","Track 12 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",3:31,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/1jNrotshHZUS2wj7MU6Lw9?si=703eac0c6334446c
Die Lit,"A$AP Mob - What Happens
(feat. A$AP Rocky, A$AP Ferg, Joey Bada$$, Kirk Knight, Nyck Caution, Meechy Darko, Zombie Juice, A$AP Twelvyy & Playboi Carti) (prod. RZA)","Track 15 off A$AP Mob's ""Cozy Tapes Vol. 2: Too Cozy"".",3:39,"Aug 25, 2017",Feature,Yes,https://open.spotify.com/track/1MGGbAkpmspdQMjJA8gS2E?si=1e38e37876f548a2
Die Lit,"MilanMakesBeats - Vlone Thug
(feat. Playboi Carti & UnoTheActivist) (prod. MilanMakesBeats)",Single re-released by MilanMakesBeats featuring Playboi Carti.,3:34,"Aug 28, 2017",Feature,Yes,https://open.spotify.com/track/7r8WovIH68jkW7tkAnwNJk?si=b207ed017eb741aa
Die Lit,"MilanMakesBeats - Still Kickin / On GO
(feat. Playboi Carti & Thouxanbanfauni) (prod. MilanMakesBeats)",Single re-released by MilanMakesBeats featuring Playboi Carti.,2:30,"Aug 28, 2017",Feature,Yes,https://open.spotify.com/track/7GBTXoVOdB0JOXxzKMFTgG?si=f36fd02e10304db0
Die Lit,"HoodRich Pablo Juan - Check
(feat. Playboi Carti)","Track 6 off HoodRich Pablo Juan's album ""Designer Drugz 3"".",3:09,"Oct 6, 2017",Feature,Yes,https://open.spotify.com/track/5fpy5WJJ6EJUoNZI26AHvg?si=ca89b17e8766490d
Die Lit,"DRAM - Crumbs
(feat. Playboi Carti) (prod. OZ)","Single released by DRAM featuring Playboi Carti. Later became a Track 16 on DRAM's album ""Big Baby DRAM (Deluxe)"".",2:36,"Nov 18, 2017",Feature,Yes,https://open.spotify.com/track/4lvs8295wnNr2ya5oFWjm6?si=987172ae3f4047e3
Die Lit,"Pi'erre Bourne - Yo Pi'erre
(feat. Playboi Carti) (prod. Pi'erre Bourne)",Single released by Pi'erre Bourne featuring Playboi Carti.,2:47,"Nov 24, 2017",Feature,Yes,https://open.spotify.com/track/0A6HaigqQKZd1wzjI0JrvG?si=ca1baf4e586c4008
Die Lit,"Harry Fraud - Hit a Lick
(feat. Playboi Carti) (prod. Harry Fraud)","Track 4 off Harry Fraud's album ""The Coast"".",2:21,"Dec 12, 2017",Feature,Yes,https://open.spotify.com/track/7vkY3SXqcytzGs5wuJHL5S?si=6f90529516ac4980
Die Lit,"ManMan Savage - Still
(feat. Playboi Carti) (prod. Roark Bailey)",Single released by ManMan Savage on SoundCloud.,4:03,"Dec 13, 2017",Feature,No,https://soundcloud.com/1manmansavage/still-x-playboi-carti-prod-roark?si=2381ccfd16324b6a85d38a3f0605c891&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Die Lit,"Rich The Kid - All Of Them
(feat. Playboi Carti) (prod. Lil Kaydee)",Released only on youtube,3:00,"Jan 28, 2018",Feature,No,https://www.youtube.com/watch?v=-dwgOz8Ppaw
Die Lit,"✨ Southside - Ain't Doing That
(feat. Playboi Carti) (prod. Maxlord 808 Mafia)","Track 3 off Southside's album ""TRAP YE // SEASON 2"".",2:52,"Feb 2, 2018",Feature,Yes,https://soundcloud.com/southside808mafia/aint-doin-that-feat-playboi?in=southside808mafia/sets/trap-ye-season-2
Die Lit,"SosaMann - In The Lobby
(feat. Playboi Carti) (prod. Pi'erre Bourne)","Single released by SosaMann on streaming, was later deleted. Share the same instrumental as Lil Uzi Vert's track 'What You Mean?'",1:59,"Mar 9, 2018",Feature,No,https://youtu.be/V0N1R1UDf94?si=D3PcJml4IgrMd8lC
Die Lit,"Dolan Beats - Red Lean
(feat. Playboi Carti) (prod. Dolan Beats)","Track 5 off Dolan Beats' album ""Most Known Unknown"". Exclusive to Spotify.",1:28,"Mar 18, 2018",Feature,Exclusive,https://open.spotify.com/track/5pIrCpNYouKnxUE9fFzC85?si=b55259edf3ab4c29
Die Lit,"⭐ Love Hurts
(feat. Travis Scott) (prod. Pi'erre Bourne & Playboi Carti)","Track 5 off Playboi Carti's album ""Die Lit"". Released on SoundCloud as a single.",3:00,"May 2, 2018",Album Track,Yes,"https://soundcloud.com/playboicarti/love-hurts-travis-scott
https://open.spotify.com/track/4IO2X2YoXoUMv0M2rwomLC?si=adc59ae02a1344bb "
Die Lit,"⭐ Long Time - Intro
(prod. Art Dealer)","Track 1 off Playboi Carti's album ""Die Lit"".",3:31,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/4IO2X2YoXoUMv0M2rwomLC?si=adc59ae02a1344bb
Die Lit,"⭐ R.I.P.
(prod. Pi'erre Bourne)","Track 2 off Playboi Carti's album ""Die Lit"". Samples ""What About Us"" by Jodeci.",3:12,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/3L0IKstjUgDFVQAbQIRZRv?si=31ecf193f2ea479e
Die Lit,"R.I.P. [Music Video]
(prod. Pi'erre Bourne)","Music Video for ""R.I.P."". Early version of ""R.I.P."" used for the music video. Features worse vocal mixing and an additional pause.",3:09,"June 11, 2018",Music Video,No,https://www.youtube.com/watch?v=GRoa6w-wnT4
Die Lit,"⭐ Lean 4 Real
(feat. Skepta) (prod. IndigoChildRick)","Track 3 off Playboi Carti's album ""Die Lit"".",2:57,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/1JgkiUg9mSXSwcb5Gbi4Ur?si=15db581cd7094597
Die Lit,"⭐ Old Money
(prod. Pi'erre Bourne)","Track 4 off Playboi Carti's album ""Die Lit"".",2:15,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/0syXbGoFZbTMXm8hGCEvW0?si=cbd013f85b494d2e
Die Lit,"⭐ Shoota [V2]
(feat. Lil Uzi Vert) (prod. Maaly Raw)","Track 6 off Playboi Carti's album ""Die Lit"". Uzi's second verse was cut from release.",2:33,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i?si=7be52ea5f5fd48da
Die Lit,"⭐ Right Now
(feat. Pi'erre Bourne) (prod. Pi'erre Bourne)","Track 7 off Playboi Carti's album ""Die Lit"".",3:27,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/475jSz0H6U3duJyNiDS0tT?si=ba78ab27bdf74f56
Die Lit,"Poke It Out
(feat. Nicki Minaj) (prod. Pi'erre Bourne)","Track 8 off Playboi Carti's album ""Die Lit"".",4:29,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/2rPSFKzGeqUWwfcCFVkkq3?si=0afd46c045864fd0
Die Lit,"✨ Home (KOD)
(prod. Pi'erre Bourne)","Track 9 off Playboi Carti's album ""Die Lit"".",2:42,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/5wPyd3IQAZft1vmxoIqGrU?si=8819e8b4c3c4428d
Die Lit,"⭐ Fell In Luv
(feat. Bryson Tiller) (prod. Pi'erre Bourne)","Track 10 off Playboi Carti's album ""Die Lit"". Samples ""Grandloves"" by Purity Love. ",3:26,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/1s9DTymg5UQrdorZf43JQm?si=3316d678d4d64de9
Die Lit,"⭐ Foreign
(prod. Pi'erre Bourne)","Track 11 off Playboi Carti's album ""Die Lit"".",2:22,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/500l6Cwe40hkPqS7Sf7ufY?si=ecbdd18947b344d9
Die Lit,"✨ Pull Up
(prod. Pi'erre Bourne)","Track 12 off Playboi Carti's album ""Die Lit"".",3:36,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/424qpX6swdUdhLq95cecNu?si=16d8006950c54799
Die Lit,"⭐ Mileage
(feat. Chief Keef) (prod. Pi'erre Bourne)","Track 13 off Playboi Carti's album ""Die Lit"".",2:29,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/1oNcc2isuz7d3hc1fMoHqj?si=1629c5b37b7e4dce
Die Lit,"⭐ FlatBed Freestyle
(prod. Pi'erre Bourne)","Track 14 off Playboi Carti's album ""Die Lit"".",3:13,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/5nayhWICkQGMTkisxVMbRw?si=64559815b479426f
Die Lit,"✨ No Time
(feat. Gunna) (prod. Don Cannon)","Track 15 off Playboi Carti's album ""Die Lit"".",3:39,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/5pHJv0bgNsT9nPoK2BjNBn?si=65c90b905a6b4970
Die Lit,"✨ Middle Of The Summer
(feat. Red Coldhearted) (prod. Pi'erre Bourne)","Track 16 off Playboi Carti's album ""Die Lit"". Samples ""Let It Go"".",2:17,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/7AtBtwrKhz94hYXgGYyG58?si=3cbb602f3691437c
Die Lit,"⭐ Choppa Won't Miss
(feat. Young Thug) (prod. Pi'erre Bourne)","Track 17 off Playboi Carti's album ""Die Lit"".",3:37,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/5O9zs6G6RcB6yP1OKwnwiM?si=fc7e50856c34495a
Die Lit,"⭐ R.I.P. Fredo - Notice Me
(feat. Young Nudy) (prod. Pi'erre Bourne)","Track 18 off Playboi Carti's album ""Die Lit"".",2:41,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/45Ln3F9PRPYTXBcMFkZMzS?si=8b41a97310494fd9
Die Lit,"Top
(feat. Pi'erre Bourne) (prod. Pi'erre Bourne)","Track 19 off Playboi Carti's album ""Die Lit"".",2:13,"May 11, 2018",Album Track,Yes,https://open.spotify.com/track/7HsvTUJcXRQVK6QuALkAvW?si=428feafafa994789
,"Whole Lotta Red [V1]
(Die Lit 2)","(May 11, 2018) (Die Lit is officially released) 
(June 3rd, 2018) While previewing Buffy The Body, Carti says that Die Lit 2 is coming soon
(Aug 9, 2018) Carti makes Skeleton, where he mentions Whole Lotta Red, making the name change from 'Die Lit 2' to 'Whole Lotta Red' official
(January 2019) Carti begins experimenting with his vocal range more
(Apr 20, 2019) Last song from the Whole Lotta Red April tracklist is recorded  
(May 10th, 2019)  The first known V2 session happens 
(October 1st, 2019) Carti fails to drop in the ""next 60 days"" ",,,,,
,,Die Lit 2,,,,,
Whole Lotta Red [V1],"🗑️ A1Billionaire - Nasty 
(with Playboi Carti) (prod. Pi'erre Bourne)
(Jole5)","Version of ""Jole5"" with a A1Billionaire verse on it. Could be a fake, but seeing has Carti hasn't removed it from his youtube page, and that A1Billionaire has connections with one of Carti's frequent collaborators Trippie Redd, this could be official.",3:14,"May 13, 2018",Feature,No,https://soundcloud.com/a1-billionaire/playboy-carti-x-a1-billonaire-lil-bitxh
Whole Lotta Red [V1],"A$AP Rocky - Black Tux, White Collar
(feat. Playboi Carti & Mikky Ekko) (prod. Kelvin Krash, A$AP Rocky, Clams Casino, Hector Delgado & Tank God)","Track 14 off A$AP Rocky's album ""TESTING"". Both Playboi Carti and Mikky Ekko have uncredited vocals.",2:42,"May 25, 2018",Feature,Yes,https://open.spotify.com/track/44uaDdHP4VFK4oq11w3Xtr?si=a900cf65eee443de
Whole Lotta Red [V1],"A$AP Rocky - Buck Shots
(feat. Playboi Carti & Smooky MarGielaa) (prod. Kelvin Krash)","Track 7 off A$AP Rocky's album ""TESTING"". Both Playboi Carti and Smooky MarGielaa have uncredited vocals.",2:47,"May 25, 2018",Feature,Yes,https://open.spotify.com/track/6ImrWnhjEOw5re3cGLMIHJ?si=1b68e969d29b4032
Whole Lotta Red [V1],"⭐ DP Beats - Check 
(feat. Playboi Carti) (prod. DP Beats)","Released as a single on all platforms. Unlike the leaked version, this version features an open verse.",3:03,"Jun 21, 2018",Feature,Yes,https://open.spotify.com/track/7hCITJ13bqcjDhiXGsxP0r
Whole Lotta Red [V1],"⭐ Chief Keef - Uh Uh
(feat. Playboi Carti) (prod. Pi'erre Bourne)","Track 4 off Chief Keef's album ""Mansion Musick"".",2:46,"Jul 13, 2018",Feature,Yes,https://open.spotify.com/track/0mgWJ5hFmhGTleJjwOZZZS?si=a554b3ea49f94bc4
Whole Lotta Red [V1],"Ova Here
(feat. Babiface Dixon & LC Levi)","Single from 2016 that was unofficially released by Babiface Dixon on July 1, 2018 on SoundCloud.",3:25,"Jul 1, 2018",Single,No,https://soundcloud.com/void-255513763/ova-here-feat-babiface-dixon-lc-levi
