Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
LOVE LASTS FOREVER [V2],"⭐ FOREVER
(prod. ​​Lil 88, Dylxn & ​yugen)","Track 1 on LOVE LASTS FOREVER.
“FOREVER”, serves as the intro track to Destroy Lonely’s studio album, “LOVE LAST FOREVER”. On March 11th, 2024, the song was previewed on Destroy Lonely’s Twitter with the caption stating: “forever”. The track samples All Saints’s “Love Lasts Forever.” Most likely introduced to the song to reference the album’s name, it also has similar connections to “FOREVER,” with both talking of a never-ending relationship with a loved one.

The song leaked on August 29th, as well as the rest of the album.",3:44,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/7wGkypoXMHSllMNsXQopvb?si=b1c60c4b8b384265
LOVE LASTS FOREVER [V2],"⭐ LOVE HURTS
(feat. Lil Uzi Vert) (prod. Lil 88, Dylxn & ​yugen)
(Babymoneyvert)","Track 2 on LOVE LASTS FOREVER.
The anticipated track was first teased on Destroy Lonely’s private Instagram on June 24, 2024, with that video surfacing on July 7, 2024. The song would later surface after a group buy on August 20th, 2024. Alongside this, Destroy Lonely would play the song in full at a party in Atlanta on the same day. The track samples “mud” from “Forever, ILY.” by Destroy Lonely. ",4:34,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/20oVyPvaVROUvQi0Z9vgWg?si=685e6aea8b2f4cd5
LOVE LASTS FOREVER [V2],"✨ CRYSTAL CLEAR
(prod. Lil 88, Cloud, DJ Moon & ​theo)",Track 4 on LOVE LASTS FOREVER.,3:38,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/1IpubUlcUN6NAW4p1s2XkL?si=f0f43e419c654d0f
LOVE LASTS FOREVER [V2],"BABY MONEY
(prod. Lil 88, KP Beatz, Semsi & MaxFlames)",Track 5 on LOVE LASTS FOREVER.,2:51,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/1uXXJuMgJgrzg60ANgyvGY?si=a5395a1a01b046e3
LOVE LASTS FOREVER [V2],"✨ BANGAZ [V5]
(with Don Toliver) (prod. Lil 88, 206Derek, Leiso & Bugz Ronin)
(ILTWS, I LIKE THE WAY SHE, Bangas)",Track 5 on the CD version for LOVE LASTS FOREVER. Was originally a solo Don Toliver song before Lone recorded on it (where it was meant for HARDSTONE PSYCHO) before being given to Lone for LOVE LASTS FOREVER.,3:41,"Aug 30, 2024",Album Track,No,https://pillows.su/f/496994b89ec44d4a1c04c776c6c370ba
LOVE LASTS FOREVER [V2],"✨ SAY THAT
(prod. Lil 88, Clayco, ​yugen & Crystals)
(Lifestyle)",Track 6 on LOVE LASTS FOREVER.,1:59,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/75tLWLJnxwe4D7x0yOMF3G?si=9eff3fdea9b14dda
LOVE LASTS FOREVER [V2],"✨ PIMP TALK
(prod. Lil 88 & WOOSHY)",Track 7 on LOVE LASTS FOREVER.,2:23,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/27QHjt9bRHlYFME7cXGTjd?si=58b1a90e1034470c
LOVE LASTS FOREVER [V2],"⭐ CADILLAC
(prod. ​Lil 88, KP Beatz, Jonah Abraham & FNZ)",Track 8 on LOVE LASTS FOREVER. It contains a sample of “prince of egypt” by mofe.,2:25,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/49w1lG2H3ygwY7CCXZuQJU?si=ad9965f01fbb4c5b
LOVE LASTS FOREVER [V2],"⭐ SYRUP SIPPIN
(prod. Lil 88, Cade, T99, Wasa & Toom)
(Black Bandana)","Track 9 on LOVE LASTS FOREVER.
The song was previewed numerous times by leakers in August of 2024 and was supposed to leak, which was stopped by Lone himself who previewed it via an Instagram Live, confirming the song is set to release. The song surfaced early on August 22, 2024 which didn’t stop it from dropping.",3:10,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/4pRSB29OrjW4P7Q5fOT18g?si=c65cbedd71fa4ddf
LOVE LASTS FOREVER [V2],"✨ LOCK IN
(prod. Lil 88, Clayco, ​henney, ​yugen, 1Velveteen & Texaco Cam)",Track 10 on LOVE LASTS FOREVER.,2:27,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/1LuZA6gq8u0fm41pyHkptD?si=6fe9a219a5824859
LOVE LASTS FOREVER [V2],"⭐ DOUBT IT
(prod. Lil 88, Clayco, Nick Spiders & 1Velveteen)
(Money Counter)","Track 11 on LOVE LASTS FOREVER.
”DOUBT IT”, previously dubbed ”Money Counter” by fans, was first previewed by Lone at Summer Smash 2024 on June 14, 2024. Then he later previewed it at Les Ardentes Festival in Liège, Belgium in July of 2024. The song was previewed a couple more times throughout the following month of August and it released as track 11 on his highly anticipated album ”LOVE LASTS FOREVER”. The song surfaced early on August 28, 2024, two days before the planned release. Notably, a leaked cover art found in a designers art portfolio shows that the song was meant to release as the second lead single to the album before being scrapped for unknown reasons.",2:41,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/4F7fTVEe93Rm7oUz4ULabI?si=aff650db7afa4572
LOVE LASTS FOREVER [V2],"WISH YOU WELL
(prod. Wheezy, Lil 88, Cloud & ​theo)",Track 12 on LOVE LASTS FOREVER.,2:41,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/7FXGGIajXE6JzX2ApgtLvi?si=81bbc3bd7bd04eb0
LOVE LASTS FOREVER [V2],"SHIP HER OFF
(prod. Lil 88, ​saintracks, KP Beatz & Cxdy)",Track 13 on LOVE LASTS FOREVER.,2:18,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/4qKhaUgCdoPeHRbK4msmJN?si=a3fb6987b8554ee3
LOVE LASTS FOREVER [V2],"HONESTLY
(prod. Lil 88, D. Rich & Chris Townsend)",Track 14 on LOVE LASTS FOREVER.,3:15,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/5ZNlq2xuWAqKqHzx1fJR8L?si=5235bd72e314443f
LOVE LASTS FOREVER [V2],"TAKE A TRIP
(prod. ​​Lil 88, Outtatown & Ratchet Ron)
(Friends)",Track 15 on LOVE LASTS FOREVER.,3:39,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/5iZtg7kvHLcMWT4xccJ1ig?si=73950a6094fc491a
LOVE LASTS FOREVER [V2],"⭐ EXTRA HIGH
(prod. Lil 88, Dylxn, Cade & Casper1of1)",Track 16 on LOVE LASTS FOREVER.,3:27,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/5VITjlbobi2rKZc2mZUoQc?si=db005e051e6641ad
LOVE LASTS FOREVER [V2],"🗑️ AMERIKA
(prod. Lil 88 & Evan Moitoso)",Track 17 on LOVE LASTS FOREVER.,3:11,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/1KzIs0r6BNlNPBvCpFKNYM?si=2f0b3a646e4542df
LOVE LASTS FOREVER [V2],"✨ THRILL
(with Ken Carson) (prod. Lil 88, Dylxn, ​​skai & ​zntiujao)
(WHOLE CLIQUE)",Track 18 on LOVE LASTS FOREVER.,4:12,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/3FMKkmAXsCrJM9ZDIbQejN?si=cc8c438d7abc4e64
LOVE LASTS FOREVER [V2],"⭐ ABOUT MONEY - BONUS
(prod. Clayco, Lil 88 & Nick Spiders)
(Touchdown)",Track 19 on LOVE LASTS FOREVER as a bonus.,2:30,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/06dLVxO0DwMj9kxT2ocMfi?si=2d6786a42f554abb
LOVE LASTS FOREVER [V2],"NO WORRIES - BONUS
(prod. Lil 88, Taurus & JahDaGod)
(Don't Worry)",Track 20 on LOVE LASTS FOREVER as a bonus.,3:07,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/0T5G0c1bhJW1dw3zYdMPzA?si=9cb328e5fa774f5c
LOVE LASTS FOREVER [V2],"PASS ME THE KEYS - BONUS
(prod. Lil 88, AM, Car!ton & REWINED)",Track 21 on LOVE LASTS FOREVER as a bonus.,2:53,"Aug 30, 2024",Album Track,Yes,https://open.spotify.com/track/0c4pjEmJrKyb8JqZ2BMNjF?si=f3633cb739f54fda
LOVE LASTS FOREVER [V2],"GET RIGHT
(prod. Lil 88, ​yugen & Taurus)",Track 4 on LOVE LASTS FOREVER: PRESENTED BY BLAKAMERIKA,2:08,"Sep 5, 2024",Album Track,Yes,https://open.spotify.com/track/4iHlQUxAutDccw7JK0fsd4?si=0b51491c42d54e42
LOVE LASTS FOREVER [V2],"⭐ PRETTIEST ONE
(prod. Lil 88 & Outtatown)
(No Rest)",Track 23 on LOVE LASTS FOREVER: PRESENTED BY BLAKAMERIKA,2:37,"Sep 5, 2024",Album Track,Yes,https://open.spotify.com/track/6nGeDn7yHlEgQOx7R2QtP6?si=ff67b633405b48e2
LOVE LASTS FOREVER [V2],"THE BOUNCE
(prod. Ginseng, Cade, BryceUnknwn, ​y2tnb, ‎xgiannii & Louie Baello)
(Too Much)", Track 22 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:17,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/6UFvIfIJ873REXtNNjSOiR?si=f73cfd07e81d42ba
LOVE LASTS FOREVER [V2],"✨ MAKE A SOUND
(prod. Cade & Alex Cheyz)
(Baby Money)",Track 23 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:13,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/1unFwAPbG19JxC1cZD8N7y?si=f0e0b7f174cc4adb
LOVE LASTS FOREVER [V2],"✨ SEE YOU TOMORROW
(prod. Cade, ‎xgiannii, Toom & Allen Core)
(Stay Quiet)",Track 24 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:12,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/7cDYX24iTxZGCmHrGvdpJb?si=591bbbc02f2d4669
LOVE LASTS FOREVER [V2],"⭐ MEET THE BOSS
(prod. Lil 88, ​henney & ​sense)
(Call Up Wafi)",Track 25 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:30,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/4EJBx1Y8QaFATDAAeZ6YPJ?si=05f001c7a24145c9
LOVE LASTS FOREVER [V2],"⭐ BLING
(prod. Lil 88 & Evan Moitoso)
(Old School)",Track 26 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:36,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/4EJBx1Y8QaFATDAAeZ6YPJ?si=05f001c7a24145c9
LOVE LASTS FOREVER [V2],"SMOKING
(prod. Ginseng, Cade (Producer), ​ryanjacob, ​leadbluntt & ANH)
(First Class Flights, Can't Take It)",Track 27 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:21,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/1kYrBXkFcTvuuQhHpdPcbN?si=922ff745b9a44237
LOVE LASTS FOREVER [V2],"HEALING
(prod. Cade, ‎xgiannii, ​​omgzanoza, ​leadbluntt & ​minzo2k)
(Can't Feel Shit, Italian Swag, Young Vamp Life Baby Money)",Track 28 on LOVE LASTS FOREVER V2.5 (Streaming Version). Has a really horrible fucking mix thanks to bitch ass Tre5,3:23,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/52KnidTjPGo3AYnzilzzmR?si=604997bca4774514
LOVE LASTS FOREVER [V2],"✨ FORGOT MY NAME
(prod. Cade, ‎xgiannii, ​leadbluntt & Caleb Lodish)
(Blessed)",Track 29 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:20,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/5mnOUxe2UlSW0YUdE9NwSb?si=6357748fc56948bd
LOVE LASTS FOREVER [V2],"⭐ LSD
(prod. Clayco, Y3rip, SJR & 23Slaughter)
(Alright, Sex & Drugs)",Track 30 on LOVE LASTS FOREVER V2.5 (Streaming Version),2:20,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/6MFd5lqBf253jICFpgpcQc?si=1c521353e3cf4415
LOVE LASTS FOREVER [V2],"⭐ MONEY ANTHEM
(prod. Clayco, ​xdkole & Jxker)",Track 31 on LOVE LASTS FOREVER V2.5 (Streaming Version),3:01,"Sep 20, 2024",Album Track,Yes,https://open.spotify.com/track/29t21Xfdqir9uI3LuYsFKC?si=e63254d1acad4614
LOVE LASTS FOREVER [V2],"President [Music Video]
(dir. Oliver Shore & Kevin Von Puttkamer)","Official music video for the Ken & Lone song 'President', released by Southside.",3:07,"Apr 26, 2024",Music Video,No,https://www.youtube.com/watch?v=fkTgbsz1aUo
LOVE LASTS FOREVER [V2],"DOUBT IT [Music Video]
(dir. 91 Rules)",Official music video for DOUBT IT.,2:51,"Aug 30, 2024",Music Video,No,https://www.youtube.com/watch?v=ZnvEQ9O0qFc&list=PLi-I2venL8D_CPIbJ1Ak3n1TBVCO5EJKt&index=1&pp=iAQB8AUB
LOVE LASTS FOREVER [V2],"LUV 4 YA [Music Video]
(dir. 91 Rules)",Official music video for LUV 4 YA.,3:51,"Jul 24, 2024",Music Video,No,https://www.youtube.com/watch?v=UmJphrg_tfg&list=PLi-I2venL8D_CPIbJ1Ak3n1TBVCO5EJKt&index=2
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
5 EP Track",see u soon </3,"(Aug 30, 2024) (LOVE LAST FOREVER officially releases)
(Jun 5, 2025) ('see u soon </3' is surprise released)",,,,"In the early hours of June 5th, 2025, Destroy Lonely took to Twitter & SoundCloud to surprise release 5 songs. 4 of them being from the BH3 era, and 1 of them being  (SRTBBL) being a community grail from 2022.",
see u soon </3,"⭐ NYLON
(prod. clayco & leadbluntt)
(Money Shower)","OG Filename: NYLON + 3BPM
Track 1 on ""see u soon </3"".",2:21,"Jun 5, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/nylon-1
see u soon </3,"⭐SDP
(prod. Cade, Safari & Ricci Riera)","OG Filename: 6125 4 _ SDP _ 8
Track 2 on ""see u soon </3"". Samples ""sdp interlude"" by Travis Scott. ",2:40,"Jun 5, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/sdp-2
see u soon </3,"⭐ SEE UR FACE
(prod. Cade, pilgrim & safari)
(Facelift, money shower, SEE YOUR FACE)","OG Filename: 6125 3 _ SEE YOUR FACE_2
Track 3 on ""see u soon </3"".",2:58,"Jun 5, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/see-your-face-3
see u soon </3,"✨ SUPER SERUM
(prod. Cxdy & saintracks)","OG Filename: 6225 3 _ SUPER SERUM_5
Track 4 on ""see u soon </3"".",2:37,"Jun 5, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/super-serum-4
see u soon </3,"⭐ SRTBBL
(feat. Ken Carson) (prod. F1LTHY, AM & Clif Shayne)
(DARKSIDE, 00DARKSIDE)","OG Filename: ken lone - SRTBBL v1.0
Former holy grail of the Ken & Lone community, first previewed on opiumbaby's Twitter on September 26, 2022 shortly after the release of NO STYLIST. It was previewed multiple other times by Ken on Instagram and a live show, and was surprise released as track 5 on ""see u soon </3"".",2:47,"Jun 5, 2025",EP Track,SoundCloud,https://soundcloud.com/destroylonely/srtbbl-ft-ken-carson-5
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","</3³
(Broken Hearts 3, Love Hurts)","(Aug 30, 2024) (LOVE LASTS FOREVER officially releases)
(March 23, 2025) (Lone announces that </3³ and a Ken Carson collab are in the works)
(June 5, 2025) ('see you soon' EP surprise releases on SoundCloud)
(July 30, 2025) (not the mayor is released)
(Sep 11, 2025) (jumanji is released)
(September 19, 2025) (</3³ is released)",,,,"On March 23rd, 2025, Lone would take to twitter without any previous warning to announce to upcoming projects: A prequel to his 2020 mixtape 'Broken Hearts' and a collaboration with labelmate Ken Carson. Throughout the next few months, Lone would constantly preview many snippets, with almost all of them being loved and praised by fans. He also released some of these snippets to keep fans comfortable in the mean-time, releasing a 5 song EP on June 5th, 2025 featuring community grails like DARKSIDE & MONEY SHOWER,. Finally, On September 11th, after a period of little communication, Lone would announce that the album would drop on September 19th and release a final lead single, Jumanji.",
</3³,"⭐ Ken Carson - Off The Meter
(feat. Destroy Lonely & Playboi Carti) (prod. star boy, Outtatown, Gab3 & DJ Moon)","Surprise bonus track released one hour after More Chaos, rumored to have been made in 2022 (except for Swamp Izzo's part).",3:39,"Apr 11, 2025",Feature,Yes,https://open.spotify.com/track/2Y98lEkMVALCXni7o2g28b
</3³,"🗑️ A$AP NAST - AMG Music
(feat. Destroy Lonely) (prod. Kelvin Krash)","A snippet of the Music Video was posted by A$AP NAST on his IG story on June 19, 2025. The song was previewed at a club by NAST the same day. This shit is fucking atrocious 💔",2:20,"Jul 11, 2025",Feature,Yes,https://open.spotify.com/track/7J5uIXKC6ssYj0KWy2R4fY
</3³,"not the mayor [V1]
(prod. Cxdy, saintracks & whyeighteen)","1st lead single for </3³, released on Lone's birthday (July 30, 2023) with a music video. Later became track 13 on </3³. Does not have the outro",2:10,"Jul 30, 2025",Single,No,https://www.youtube.com/watch?v=6M1rd4n9e44 
</3³,"✨ Homixide Gang - Shopping Bags
(feat. Destroy Lonely) (prod. Clayco, Oj2milly & Finn Tudor)
(Sage, Shop With Me)","Track 20 on Homixide Lifestyle 2.
Song was first previewed by @veryloud123 on IG, with a CDQ snip surfacing that same day. The entire song leaked July 23, 2025.",3:25,"Aug 1, 2025",Feature,Yes,https://open.spotify.com/track/6HStf7721bXOr2zx4nHh08
</3³,"✨ ain't hard
(prod. 1wakeupp, kwesterrr & Bugz Ronin)
(Boss Ain't Hard)","First previewed almost in full by Destroy Lonely on an Instagram live, would find its way releasing as track 1 on </3³.",3:15,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/1fUnO4JLV0Lu3Hfes9xbgn?si=4c90669fd9514d2e
</3³,"⭐ risk                                                      
(prod. Bugz Ronin, DarkBoySantana)
(Rollin' Dice)",Track 2 on </3³.,3:00,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/1K9BPaRMM5G7A63mE7NRuF?si=c48d98bd15ba4580
</3³,"✨ see no evil
(prod. Cxdy, Whysobored)
(Speak No Evil)",Track 3 on </3³.,2:22,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/129MkJl8HHdaLtR5UP0rmM?si=0f59986432c94fa0
</3³,"✨ no pressure
(prod. Cxdy, icedmn)
(Steppin' On Em)",Track 4 on </3³.,2:18,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/4LbEOVEI157jwLfleJyhVy?si=9e3198291f344bee
</3³,"⭐ stfu
(prod. Bugz Ronin & Bobby Raps)
(Pussy)",Track 5 on </3³.,3:21,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/68HUeHFOLveHj4nw0iRcMA?si=2923f3500a6b42ad
</3³,"⭐ show u how
(prod. Bugz Ronin, 1wakeupp)",Track 6 on </3³.,2:08,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/2IvR9GR115jy5N8wGZqxzl?si=94637bf60a6f4fd0
</3³,"✨ top flo
(prod. Clayco, leadbluntt)",Track 7 on </3³.,2:38,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/34XTmZOyapmHpiiiiljLiU?si=80722750cb304f16
</3³,"⭐ whats it gon take? [V2]
(prod. Clayco, xgiannii, ​leadbluntt & ​thayerperiod)
(Let Me Know)","Originally supposed to be track 5 on </3³, 2:43 long (extra 3 seconds probably for song transitions), according to a purple4matter tweet. Was scrapped shortly before release due to the sample not being cleared. Sample was then remade by thayerperiod in order to try and release on time. Would be released on Lone's twitter shortly after Broken Hearts 3 dropped but wouldn't drop on streaming serices until September 23, 2025 as track 8 of the mixtape.",2:40,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/13fceAfv5ZN74ZIv9TM5zb?si=0d6a8abf76774390
</3³,"⭐ kansas
(prod. Cxdy, BBS)
(On Top)",Track 9 on </3³. ,2:34,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/44fSGJOCNmQdgoESBo4I0q?si=6f2e93ec0071421c
</3³,"⭐ screwed up
(prod. Cxdy, saintracks)",Track 10 on </3³.,2:33,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/493FWDdicMcysufpqhuFxJ?si=dec157cfcc364097
</3³,"⭐ party n get high (interlude)
(prod. Bugz Ronin, Dim Crux)",Track 11 on </3³.,3:33,"Sep 19, 2025",Mixtape Track,Yes,https://open.spotify.com/track/5KrUKcolSezEBOPGTBoIeZ?si=687a00b09abb4183
