"Era","Name","Notes","File Date","Leak Date","Full Length","BPM","Available Length","Quality","Link(s)"
"","X
(Project Xtended, Ken Carson, X_MAN)","(Jul 23, 2021) (Project X is released)
(Jul 8, 2022) (X is released) Instrumentals","","","","","","",""
"X","Ain't No Way
(feat. Destroy Lonely & HXG) (prod. ​starboy & outtatown)","OG Filename: 5 444! 142 STAR BOY OUTTATOWN
Instrumental for the unreleased song Ain't No Way.","N/A","","2:16","","Full","High Quality","https://lastshare.org/share/3LyNBDCkpMwM5Ux"
"X","Delinquent
(prod. F1LTHY, Esko & Lukrative)
(All Year Freestyle)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","High Quality","https://pixeldrain.com/u/s9wrDS1q"
"X","X
(prod. Lukrative, Lucian & ​ssort)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/BVfdFwBr"
"","A Great Chaos
(AGC, X2)","(Jul 8, 2022) (X is released)
(Oct 13, 2023) (A Great Chaos is released)","","","","","","",""
"A Great Chaos","Jennifer's Body
(prod. KP Beatz & Lucian)","Session Filename: downsouth luc kp 140.ptx
Studio session for track 2 on A Great Chaos. Contains 164 vocal takes.","May 3, 2023","","5:24:27","","Full","Session","https://pixeldrain.com/u/F5ut4yuX
https://pillows.su/f/8e7c85c7fe230623b1603426b33d18fb"
"A Great Chaos","Fighting My Demons
(prod. Warren Hunter, ​bart how, Lvis, ​starboy & outtatown)
(Where TF, Pop)","Session Filename: ken 1.13 3.ptx
Studio session for track 3 on A Great Chaos. A full verse for the second half of the song and some alternate instrumentals were removed by the leaker.","Jan 13, 2023","","","","Partial","Session","https://pixeldrain.com/u/TpZoRT3w"
"A Great Chaos","Hardcore
(prod. starboy, AM, Bhristo, Warpstr & outtatown)","Studio session for track 6 on A Great Chaos.","N/A","","","","Snippet","High Quality","https://pillows.su/f/9cb0afd82b790d59f3f3957487b9058b
https://pillows.su/f/0e44362fb67d6c29c76dd728bc2d541c"
"A Great Chaos","Paranoid
(feat. Destroy Lonely) (prod. F1LTHY, Lukrative & Lucian)
(Kel-Tec)","Session Filename #1: 11.17.22 Tre Song 1
Session Filename #2: Paranoid 8.8.23
Session Filename #3: Paranoid 8.9.23
Session Filename #4: Paranoid 8.11.23
Session Filename #5: Paranoid 8.12.23
Session Filename #6: Paranoid 9.11.23
Session Filename #7: Paranoid 9.12.23
Session Filename #8: Paranoid 9.20.23
Studio session for track 9 on A Great Chaos. Contains 170 vocal takes.","Nov 17, 2022","","","","Full","Session","https://lastshare.org/s/fg5sqXSkO8KjvYb
https://lastshare.org/share/Nq7ZVXt9tjXSGNk
https://lastshare.org/share/pr54GWUTrk8XRDh
https://pillows.su/f/89c5767c6d41d671ebac34d0b6ebf303"
"A Great Chaos","Succubus
(prod. F1LTHY & AM)
(so dark, sucka)","Session Filename #1: dont lead me on 144 f1lam 2.ptx
Session Filename #2: dont lead me on 144 f1lam 2 v2.0.ptx
Session Filename #3: PTX #3 - SO DARK 9.8.23.ptx
Studio session for track 9 on A Great Chaos. Contains 202 vocal takes.","Jun 7, 2023","","1:13:56","","Full","Session","https://pixeldrain.com/u/7BdBzCB9
https://lastshare.org/share/uk0A2gA8NXqcCD9
https://pillows.su/f/f5b074e6eaca857f64e855aabf1e5d05"
"A Great Chaos","Nightcore 2
(prod. AM, Clif Shayne & Lucian)","Session Filename: headrush 150 Lucian am clif.ptx
Studio session for track 16 on A Great Chaos. Contains 134 vocal takes.","Jun 8, 2023","","","","Full","Session","https://pixeldrain.com/u/9H7QwMXw
https://lastshare.org/share/KFukBqa2vCloFia
https://lastshare.org/share/K16ZM4XjzzZuaEp
https://pixeldrain.com/u/kDiHERHe
https://pillows.su/f/da2b069f76b236e187d50f8ce36b1d4a"
"A Great Chaos","Almighty
(prod. Lukrative, Lucian & Perto)
(Almighty00)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon on May 22nd, 2025. Full video leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/5NBsNaCf"
"A Great Chaos","𝓒𝓸𝓶𝓮 𝓞𝓾𝓽𝓼𝓲𝓭𝓮
(prod. Lukrative)
(Come Outside)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/MADyPeFw"
"A Great Chaos","Fighting My Demons [Part 1]
(prod. Warren Hunter, ​bart how, Lvis, ​starboy & outtatown)
(Where TF, Pop)","OG Filename: 5777 Active shooter 141 star bart
Official instrumental for part 1 of track 3 on A Great Chaos.","N/A","","2:16","","OG File","Lossless","https://lastshare.org/share/exs2yCbXPgDrUpf"
"A Great Chaos","Fighting My Demons [Part 2]
(prod. Warren Hunter, ​bart how, Lvis, ​starboy & outtatown)
(Where TF, Pop)","OG Filename: 6115...
Official instrumental for part 2 of track 3 on A Great Chaos. Much longer than what is heard in the song. Full name of the beat is unknown as the project stems only contain the number.","N/A","","2:29","","Stem Bounce","Lossless","https://lastshare.org/share/exs2yCbXPgDrUpf"
"A Great Chaos","Green Room
(prod. F1LTHY, Lukrative & Lucian)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/Z2M8fBem
https://pillows.su/f/8ba6ff0bcad12c0943b0b835a03ddfbd"
"A Great Chaos","Hear Me Calling
(prod. Lukrative, Glasear & Clif Shayne)
(𝓯𝓻𝓮𝓮 𝔂𝓸𝓾𝓷𝓰 𝓽𝓱𝓾𝓰, free young thug, fyt)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/TLXdH4xj"
"A Great Chaos","i need u
(prod. MaxFlames & Lucian)","OG Filename: INSTANT 156 LUCIAN MAX
Official instrumental for track 18 on A Great Chaos.","N/A","","3:05","","OG File","Lossless","https://lastshare.org/share/V08yjSvuxs7PD5R"
"A Great Chaos","Jennifer's Body [V1]
(prod. KP Beatz & Lucian)
(Keep It 100)","OG Filename: DOWNSOUTH luc kp 140bpm
Official instrumental for track 2 on A Great Chaos.","N/A","","3:44","","OG File","CD Quality","https://lastshare.org/share/KmmLRb6a3Nhfi2H"
"A Great Chaos","Lookbook
(prod. Lukrative & Lucian)
(Plain Jane)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/TXXvV37t"
"A Great Chaos","mewtwo
(prod. Clif Shayne)
(Pokémon)","OG Filename: fall in love 150 clif
Official instrumental for track 23 on the deluxe version of A Great Chaos.","N/A","","2:08","","OG File","High Quality","https://lastshare.org/share/QSLc5dyjydhBI8y
https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","Paranoid
(feat. Destroy Lonely) (prod. F1LTHY, Lukrative & Lucian)
(Kel-Tec)","OG Filename: felt 150 f1l luk luc
Official instrumental for track 9 on A Great Chaos.","Nov 15, 2022","","2:59","","OG File","Lossless","https://lastshare.org/s/fg5sqXSkO8KjvYb
https://lastshare.org/share/Nq7ZVXt9tjXSGNk
https://lastshare.org/share/pr54GWUTrk8XRDh
https://pillows.su/f/89c5767c6d41d671ebac34d0b6ebf303"
"A Great Chaos","Shoot
(prod. Lukrative & ​ssort)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/sYJHyRKR"
"A Great Chaos","Succubus
(prod. F1LTHY & AM)
(so dark, sucka)","OG Filename: dont lead me on 144 F1LAM
Official instrumental for track 9 on A Great Chaos.","N/A","","2:13","","OG File","Lossless","https://pixeldrain.com/u/7BdBzCB9
https://lastshare.org/share/uk0A2gA8NXqcCD9
https://pillows.su/f/f5b074e6eaca857f64e855aabf1e5d05"
"A Great Chaos","Nightcore
(prod. Lukrative & Lucian)
(ken carson)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/fMJbVtoY
https://pillows.su/f/3d902de41c289b352749e0d2a679404f"
"A Great Chaos","Nightcore 2
(prod. AM, Clif Shayne & Lucian)","OG Filename: headrush 150 [Lucian + AM + Clif Shayne]
Official instrumental for track 16 on A Great Chaos. Needs to be pitched up to match the released song.","N/A","","2:21","","OG File","CD Quality","https://pixeldrain.com/u/9H7QwMXw
https://lastshare.org/share/KFukBqa2vCloFia
https://lastshare.org/share/K16ZM4XjzzZuaEp
https://pixeldrain.com/u/kDiHERHe
https://pillows.su/f/da2b069f76b236e187d50f8ce36b1d4a"
"A Great Chaos","overseas
(prod. Lukrative, Nick Spiders, Esk & Lucian)
(Bleed)","A video breakdown deconstructing the beat was shared by producer Lukrative to his Patreon. Leaked on September 25th, 2025.","N/A","","","","Full","Low Quality","https://pixeldrain.com/u/K4iKbdQ4"
"A Great Chaos","VMP
(prod. Noah Mejia)","OG Filename: NOAH MEJIA - HOP ON - 154BPM STARTER
Original loop for VMP previewed by Noah Mejia during a livestream. In an interview with downtime Noah said that he made the loop in 2023 and in the final release it was pitched down.","2023","","1:52","","Snippet","High Quality","https://lastshare.org/share/2aKDNSeekAnDN2y"
"A Great Chaos","leather jacket
(prod. Perto)
(Strike)","Vocal stem for leather jacket.","N/A","","2:37","","Full","CD Quality","https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","loading
(prod. Clif Shayne)","Vocal stem for loading.","N/A","","3:06","","Full","CD Quality","https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","Lose It
(prod. ​legion & Gab3)","Vocal stem from the session for Lose It. Used in the ""Tripped Out"" stem edit.","N/A","","0:28","","Full","High Quality","https://pixeldrain.com/u/BWarR8PD
https://pillows.su/f/150b2b182bc8b8a50c0f73ca1c9953e8"
"A Great Chaos","mewtwo
(prod. Clif Shayne)
(Pokémon)","Vocal stem for mewtwo.","N/A","","2:08","","Full","CD Quality","https://lastshare.org/share/QSLc5dyjydhBI8y
https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","more chaos
(prod. Nick Spiders & Clif Shayne)
(Designer Hoes)","Vocal stem for more chaos.","N/A","","2:21","","Full","CD Quality","https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","Nightcore 2
(prod. AM, Clif Shayne & Lucian)","OG Filename: Nightcore 2 (ACAPP) 9.22.23
Vocal stem for Nightcore 2. Found bounced within the session.","Sep 22, 2023","","","","OG File","Lossless","https://pixeldrain.com/u/9H7QwMXw
https://lastshare.org/share/KFukBqa2vCloFia
https://lastshare.org/share/K16ZM4XjzzZuaEp
https://pixeldrain.com/u/kDiHERHe
https://pillows.su/f/da2b069f76b236e187d50f8ce36b1d4a"
"A Great Chaos","ss
(prod. Lil 88, ​bart how, 1kyl & Mnclzy)
(Sydney Sweeney)","Vocal stem for ss.","N/A","","3:04","","Full","CD Quality","https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","toxic
(prod. ​legion & ​​skai)
(Cheerleader)","Vocal stem for toxic.","N/A","","2:45","","Full","CD Quality","https://lastshare.org/share/4kOtALVD60D7xMb"
"A Great Chaos","5AM
(with Lil Uzi Vert) (prod. Maaly Raw)
(5 In The Morning)","Edit which combines both Ken & Lil Uzi's vocals.","N/A","","3:00","","Full","High Quality","https://lastshare.org/share/UIWPdGPxIp5l84r"
"A Great Chaos","For Real*
(prod. El Gusto)","Stem edit which uses vocals from a random A Great Chaos session. Snippeted by El Gusto on April 7th, 2025.","N/A","","","","Snippet","High Quality","https://pixeldrain.com/u/RVnUEM5b"
"A Great Chaos","Let's Do It
(prod. El Gusto)","Stem edit which uses vocals from a random A Great Chaos session. Snippeted by El Gusto on August 31st, 2025.  Leaked on Septrember 20th, 2025.","N/A","","1:33","","Full","High Quality","https://pixeldrain.com/u/kPGZ6D4a"
"A Great Chaos","Nightcore 2
(prod. AM, Clif Shayne & Lucian)","Stem edit recreating the pitched up version of Nightcore 2 which was previewed by Ken Carson during an Instagram live. Leaked on August 13th, 2024.","N/A","","2:09","","Full","CD Quality","https://pixeldrain.com/u/9H7QwMXw
https://lastshare.org/share/KFukBqa2vCloFia
https://lastshare.org/share/K16ZM4XjzzZuaEp
https://pixeldrain.com/u/kDiHERHe
https://pillows.su/f/da2b069f76b236e187d50f8ce36b1d4a"
"A Great Chaos","Overtime [V1]
(prod. Lil 88)","Stem edit of Overtime which adds a second verse. Leaked March 6th, 2025.","N/A","","1:55","","Full","High Quality","https://pixeldrain.com/u/t3NFTVVn"
"A Great Chaos","Paranoid
(feat. Destroy Lonely) (prod. F1LTHY, Lukrative & Lucian)
(Kel-Tec)","Stem edit recreating the pitched up version of Paranoid which was previewed by Ken Carson several times. Leaked on June 28th, 2025. Better edit made with the session which leaked on June 15th, 2026.","N/A","","1:59","","Full","Lossless","https://lastshare.org/s/fg5sqXSkO8KjvYb
https://lastshare.org/share/Nq7ZVXt9tjXSGNk
https://lastshare.org/share/pr54GWUTrk8XRDh
https://pillows.su/f/89c5767c6d41d671ebac34d0b6ebf303"
"A Great Chaos","Pop Out","Stem edit which uses random takes from the Succubus session over a trash beat. Snippet leaked October 25th, 2025.","N/A","","","","Snippet","High Quality","https://pixeldrain.com/u/QrQVC7ZW"
"A Great Chaos","Tell That*
(prod. El Gusto)","Stem edit which uses vocals from a random A Great Chaos session. Snippeted by El Gusto on April 6th, 2025. Features the mods from the Ken Carson Hub discord server. Samples Habits (Stay High) by Tove Lo.","N/A","","","","Snippet","High Quality","https://pixeldrain.com/u/VnT1nCRT"
"A Great Chaos","Tripped Out
(prod. El Gusto)
(Tripping Out)","Stem edit which uses vocals from the ""Lose It"" session. Snippeted by @kencarsionunseen on Instagram on March 29th, 2025. Another snippet leaked on April 2nd, 2025. Leaked on April 8th, 2025.","N/A","","2:11","","Full","High Quality","https://pixeldrain.com/u/AotCF3fL"
"A Great Chaos","Whole Thing*
(prod. El Gusto)","Stem edit which uses vocals from a random A Great Chaos session. Snippeted by El Gusto on April 5th, 2025.","N/A","","","","Snippet","High Quality","https://pixeldrain.com/u/8rGkrWYj"
