Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Family 1st,"City Lights
(prod. Downtown Music)","Uploaded to Downtown Music's Soundclick on November 11, 2011.",,"Nov 11, 2011",5:03,,Full,CD Quality,https://pillows.su/f/7705c169bfa18223f29144276eb2957b
Family 1st,"Feel This
(prod. Lexi Banks)","Uploaded to YouTube as a ""SpaceGhostPurpp X Asap Rocky type beat"".",,"Aug 27, 2012",1:43,,Full,CD Quality,https://pillows.su/f/866fbd3cff5e5b39f17d7ebb849dab50
Hard Body,"Can't Feel My Raps
(prod. Scott Supreme)","OG Filename: Scott Supreme  Case Closed (In
Tagged instrumental for ""Can't Feel My Raps"".",,"May 26, 2024",4:34,,OG File,CD Quality,https://pillows.su/f/e5ef9247ff8670d089e027b2c0e0f027
Hard Body,"Can't Right My Wrongs
(prod. Lexi Banks)","Uploaded as a ""Drake x Kendrick Lamar type beat"".",,"Mar 17, 2013",1:58,,Full,CD Quality,https://pillows.su/f/7d22accbea7278ebea2d19443faac0bd
Hard Body,"Caught Up
(prod. Lexi Banks)","OG Filename: Lexibanksmusicgroup@gmail.com - The Season (Untagged) bpm. 148
Tagless instrumental for ""Caught Up"" featuring Cmore Stacks. Uploaded as a ""Drake type beat"" on December 24, 2012.",,"May 26, 2024",4:06,148,OG File,CD Quality,https://pillows.su/f/b1a266b6ac63d2dc0cc310e8f3ca4824
Hard Body,"SPC - Dream Team
(prod. Track Bangaz)","OG Filename: Track Bangas  Bout That Action
Instrumental for ""Dream Team"".",,"May 26, 2024",5:13,,OG File,High Quality,https://pillows.su/f/0e1345702fc966e7cf1f5c8ae59577b3
Hard Body,"Get Money
(prod. Lexi Banks)","OG Filename: Go Getta (Untagged) bpm. 80
Tagless instrumental for ""Get Money"". Tagged version was uploaded on February 3, 2013.",,"May 26, 2024",5:40,80,OG File,High Quality,https://pillows.su/f/0a68a8256b8faa706f046acaf7a4797b
Hard Body,"Make it Out
(feat. Nechie) (prod. Lexi Banks)","OG Filename: Vice City (Untagged) bpm. 160
Tagless instrumental for ""Make it Out"". Tagged version was uploaded on March 27, 2013 as a ""Stay Schemin Part II Drake type beat"".",,"May 26, 2024",3:40,160,OG File,High Quality,https://pillows.su/f/2cecb0899ab3467052c6c2e3c32e0c3d
Hard Body,"Stay Gettin' High
(prod. Lexi Banks)","Uploaded to YouTube as an ""Asap Rocky Kirko Bangz type beat"". Contains vocals absent from the song.",,"Aug 22, 2012",2:00,,Full,CD Quality,https://pillows.su/f/e7943be8a434e95f6e5b6b91dd1e60f4
Hard Body,"Style Like Me
(prod. Urben Beats)","OG Filename: AfterGlow__Â©_by_UpSide_Muzic_
Instrumental for ""Style Like Me"". Created in 2012.",,"May 26, 2024",3:09,,OG File,CD Quality,https://pillows.su/f/2305f4a833fb9a5839f77579aee7ac46
Hard Body,"Tryna Get a Milli
(prod. Lexi Banks)","Uploaded as a ""Rick Ross x Drake type beat"".",,"Jun 19, 2013",2:31,,Full,CD Quality,https://pillows.su/f/72a30f7534596c57c82a796d2a4aa3fd
Hard Body,"Whateva for the Dough
(prod. Downtown Music)","Uploaded by Downtown Music in 2013 with the title ""My Cake"". Samples ""Young and Beautiful"" by Lana Del Rey.",,"Sep 30, 2014",4:30,,Full,CD Quality,https://pillows.su/f/de60fd892f0ec565f89581b20d9c6601
Money Can't Buy Dreams [V1],"Clean
(prod. DJ Kronic Beats)","Posted by DJ Kronic Beats on July 14, 2013 as a Wiz Khalifa type beat.",,"Jul 14, 2013",3:41,,Full,CD Quality,https://pillows.su/f/54e4e4199919fe037dd11246b4c889f2
Money Can't Buy Dreams [V1],"Don't Appreciate
(prod. AndreOnBeat & ADotTheGod)","Tagless instrumental for ""Don't Appreciate"" uploaded on February 3, 2014 as a Schoolboy Q type beat.",,"Feb 3, 2014",4:05,,Full,CD Quality,https://pillows.su/f/5645a7e7275eae792b9c7a7829c55fc0
Money Can't Buy Dreams [V1],"Cmore Stacks - Overnight
(feat. Yung Gunna) (prod. Lexi Banks)","Uploaded as a ""Drake x Wiz Khalifa type beat"".",,"Aug 8, 2013",3:41,,Full,CD Quality,https://pillows.su/f/d0faee65e66630f163a76d9448662f02
The Nextdoor Neighbors,"Rollin'
(with Nechie) (prod. Downtown Music)
(We Rollin')","OG Filename: downtownmusic+sexwithmyexnohookfreedl
Instrumental for ""Rollin"" featuring Nechie. Uploaded to Downtown Music's Soundclick on January 11, 2015.",,"May 26, 2024",4:50,,OG File,CD Quality,https://pillows.su/f/9cc9d10b956a740ee793b8557f1fa6f6
The Nextdoor Neighbors,"What We Choose
(with Nechie) (prod. Downtown Music)","OG Filename: downtownmusic+earneditfreedl
Instrumental for ""What We Choose"" featuring Nechie. Uploaded to Downtown Music's Soundclick on January 23, 2015.",,"May 26, 2024",5:52,,OG File,CD Quality,https://pillows.su/f/8bc55164c518a71ccf33b6f0995e5e05
Money Can't Buy Dreams [V2],"Our Year
(feat. Nechie) (prod. Rob Taylor)","OG Filename: yung
Session for ""Our Year"" featuring Nechie recorded February 12, 2015. Also includes a partial session for Rich Homie Nard - ""Real""  featuring Gunna, recorded later that day.","Feb 12, 2015","Apr 1, 2024",Varied,,OG File,Lossless,https://pixeldrain.com/u/a75PN7AQ
Money Can't Buy Dreams [V2],Blueprint,"OG Filename: Medlock
Instrumental for ""Blueprint"".",,"May 26, 2024",4:32,,OG File,CD Quality,https://pillows.su/f/ea9c88e152ff4c606cef9d291d2e6047
Money Can't Buy Dreams [V2],"My Name
(prod. AndreOnBeat)","OG Filename: MY NAME
Instrumental for the first half of ""My Name"". Created in 2014.",,"May 26, 2024",1:55,,OG File,High Quality,https://pillows.su/f/cf3d7906fd61bbaa5fd80260c8306872
Money Can't Buy Dreams [V2],"Our Year
(feat. Nechie) (prod. Rob Taylor)","OG Filename: yung gunna
Instrumental for ""Our Year"" featuring Nechie.","Feb 12, 2015","May 26, 2024",3:49,70,OG File,Lossless,https://pillows.su/f/b38d979170ab9cebd23ea36db514d856
Money Can't Buy Dreams [V2],"Yes
(prod. ALB Beats)","OG Filename: mind c0ntrol 1
Instrumental for ""Yes"".",,"May 26, 2024",2:01,,OG File,High Quality,https://pillows.su/f/edbd45cb65801a46ae67d74f4ea6c5da
Money Can't Buy Dreams [V2],"Rich Homie Nard - Real
(feat. Gunna) (prod. Rob Taylor)","OG Filename: newnew
Instrumental for Rich Homie Nard - ""Real"" featuring Gunna.","Feb 12, 2015","May 26, 2024",3:28,,OG File,Lossless,https://pillows.su/f/e596335ed0d37f65a990a7600935f242
Drip Season,"Can't Relate
(prod. Jugg Santana)","OG Filename: diamond all over u
Instrumental for track 6 on Drip Season, ""Can't Relate"". Some parts of the beat were cut from the song.",,"May 26, 2024",4:21,,OG File,High Quality,https://pillows.su/f/df804fc5cc8695bda33f6c44c461125a
Drip Season,"Don
(prod. Turbo)","OG Filename: Bando
Instrumental for ""Don"".",,"May 26, 2024",3:30,,OG File,High Quality,https://pillows.su/f/19c1b4dd0802c78dc6bf1dcf71761fd7
Drip Season,"Let 'Em Hate
(prod. Coolie Beats & X-Men)","OG Filename: COOLIE x X-MEN 1
Instrumental for ""Let 'Em Hate"".",,"May 26, 2024",2:08,,OG File,High Quality,https://pillows.su/f/df69ab3ec8c02c5ff68fec8a5f7ae9ea
Drip Season 2,"On to Me
(prod. T of Young Gods & Ricky Racks)","OG Filename: TofYoungGods X Ricky racks legends 890
Instrumental for ""On to Me"".",,"May 26, 2024",5:33,,OG File,High Quality,https://pillows.su/f/3f171109dcbd134ca4aefdef9d3e11c1
Drip or Drown,"Dodge the Hate
(prod. Wheezy & Cassius Jay)","OG Filename: euro4 cj whzy gunna
Instrumental for track 7 on Drip or Drown, ""Dodge the Hate"".",,"Jun 28, 2024",2:07,,OG File,High Quality,https://pillows.su/f/ce3d262c6b3a3184f947e4236afcb463
Drip or Drown,"Drip Hoe
(prod. Wheezy & Pi'erre Bourne)","OG Filename: pierrewzyzona gunna
Instrumental for ""Drip Hoe"".",,"Jan 15, 2026",1:20,,OG File,High Quality,https://pillows.su/f/9a135bd5427039d3f8868e715c5047cf
Drip or Drown,"L.A. Plays
(prod. Wheezy & Pi'erre Bourne)","OG File (Metadata): floppy disk pierre x wheezy
Instrumental for ""L.A. Plays"". Uses the same sample as Offset - ""Dreams"".",,"Jan 15, 2026",1:25,,OG File,High Quality,https://pillows.su/f/9a6c3ed0125bad5d5e85069b1d107289
Drip or Drown,"Laced
(prod. Ro & Smoke)","OG Filename: Ro_Earth
Instrumental for ""Laced"".",,"Mar 5, 2024",3:18,,OG File,High Quality,https://pillows.su/f/a37fe3144523b0b18b51b9f66fac0cdd
Drip or Drown,"Psychic
(prod. Wheezy & CuBeatz)","OG Filename: tombi birds cu whzy 53.730
Instrumental for ""Psychic"".",,"Jun 28, 2024",4:12,,OG File,High Quality,https://pillows.su/f/987548dedd83805872193524ef575990
Drip or Drown,"When I Want To
(prod. THE PLAYMAKERS & Wheezy)","OG Filename: Miami Vice x whzy
Instrumental for ""When I Want To"".",,"Jun 28, 2024",3:26,,OG File,High Quality,https://pillows.su/f/40643cb0b828eeebf2bcba9bec745789
Drip Season 3,"Wuapo - I Just Wanna
(feat. Gunna) (prod. BeatPluggTwo & RK Sapp)","OG Filename: I Just Wanna
Studio session for ""I Just Wanna"" dated August 5, 2017.","Aug 5, 2017","Apr 1, 2024",Varied,,OG File,Lossless,http://pixeldrain.com/u/HWXRARz7
Drip Season 3,"Get it Up
(with Shad da God) (prod. Turbo)","OG Filename: SUPREME2
Instrumental for ""Get it Up"" featuring Shad da God.",,"Jun 28, 2024",1:19,,OG File,High Quality,https://pillows.su/f/6a3f2e1c36fdac48574fcac33d6b2f4f
Drip Season 3,"Jealousy
(feat. Lil Duke) (prod. Turbo)","OG Filename: RARE BREED
Instrumental for ""Jealousy"" featuring Lil Duke.",,"Jun 28, 2024",3:01,,OG File,High Quality,https://pillows.su/f/48b9bd80a8e51e6da123791c5cd6c5f4
Drip Season 3,"???
(feat. Lil Uzi Vert) (prod. Cassius Jay & Wheezy)
(My Partner)","Instrumental for ""My Partner"". Also used in 21 Savage - ""Fuck My Teacher"".",,"Apr 23, 2021",2:07,144,Full,Lossless,https://pillows.su/f/e98a2ef02536a42130c95e0919e599f8
Drip Season 3,"Kap G - Marvelous Day
(feat. Lil Uzi Vert & Gunna) (prod. Spiffy Global & Squat Beats)","Instrumental for Kap G - ""Marvelous Day"" featuring Lil Uzi Vert and Gunna.",,"Aug 13, 2019",3:39,,Full,CD Quality,https://pillows.su/f/00f7df6f8673cd6e18c097f1e0a596ec
Drip Season 3,"Lil Baby - Life Goes On
(feat. Gunna & Lil Uzi Vert) (prod. Quay Global)","Instrumental for Lil Baby - ""Life Goes On"" featuring Gunna and Lil Uzi Vert.",,"Aug 12, 2019",4:06,,Full,CD Quality,https://pillows.su/f/aa86c37361c8210a758ea9979c16277b
Drip Season 3,"Paris Shadows - Po'ed Up (Remix)
(feat. Gunna) (prod. MarzBeats95)","Instrumental for Paris Shadows - ""Po'ed Up (Remix)"" featuring Gunna.",,"Nov 10, 2023",2:44,,Full,CD Quality,https://pillows.su/f/422806b73ce63aa1db90abff2148c350
Drip Season 3,"TM88, Southside & Gunna - Order
(prod. TM88 & Southside)","Instrumental for TM88, Southside, and Gunna - ""Order"".",,"Nov 22, 2018",3:03,,Full,CD Quality,https://pillows.su/f/6ea9d6d4640456f0c185aabc657bc826
Drip Season 3,"Wuapo - I Just Wanna
(feat. Gunna) (prod. BeatPluggTwo & RK Sapp)","OG Filename: Streets On Lock Prod. BeatPluggTwo & RK Sapp.R
Instrumental for Wuapo - ""I Just Wanna""  featuring Gunna.","Jul 7, 2017","Apr 1, 2024",2:42,,OG File,Lossless,https://pillows.su/f/435ca546450a486ca293d8387326f2ba
Drip Harder,"Drip Too Hard
(with Lil Baby) (prod. Turbo)","Instrumental for track 12 on Drip Harder, ""Drip Too Hard"".",,"Aug 12, 2019",2:25,,Full,CD Quality,https://pillows.su/f/dc2cc02bc84dcc0fb9db32f554fd4f26
Drip or Drown 2,".223
(feat. Lil Uzi Vert) (prod. Wheezy)
(.223 Drip)","OG Filename: UNTITLEDTSUNAMI4AXXANDTYRQ
Instrumental for "".223"" featuring Lil Uzi Vert. Filename may indicate names of co-producers.",,"Feb 20, 2026",2:03,,OG File,High Quality,https://pillows.su/f/e4cea6fff75e4551ababfba0d6f0bad5
Drip or Drown 2,"Choppa Pillow
(prod. Wheezy, CVRE, & Ging)","OG Filename: CVRE LIL WESLYN 161 FDXW
Instrumental for ""Choppa Pillow"". Also used in Juice WRLD - Personification.",,"Jun 12, 2024",3:25,,OG File,Lossless,https://pillows.su/f/aefbc52383b69c6670b374f7c1d7b123
Drip or Drown 2,"Florida Water
(feat. Moneybagg Yo) (prod. Turbo)","Instrumental for ""Florida Water"" featuring Moneybagg Yo.",,"Aug 24, 2022",2:59,,Full,CD Quality,https://pillows.su/f/3d22a75e14999cba128e23a49554a134
