Era,Name,Notes,Length,File Date,Leak Date,Type,Available,Quality,Link(s)
Head In The Clouds II,"Walking [Instrumental]
(with. Jackson Wang) (prod. Major Lazer & 1Mind)","Official Instrumental for ""Walking"". Hosted on the website DIGTRACKS.com.",2:47,,"Oct 12, 2019",Instrumental,Full,CD Quality,Link
,Sessions,,,,,,,,
Head In The Clouds II,"Lovin You [Sessions]
(prod. Aryay)
aka. Loving You","Ableton Sessions for ""Lovin' You"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Skeletons [Sessions]
(prod. Aryay)","Ableton Sessions for ""Skeletons"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Victor Sesh [Sessions]
(prod. Aryay)
aka. Victor","Ableton Sessions for ""Victor Sesh"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
Head In The Clouds II,"Who Made You [Sessions]
(prod. Aryay)
aka. God Complex","Ableton Sessions for ""Who Made You"".",N/A,"Nov 2, 2018","Mar 29, 2026",Sessions,OG File,Lossless,
,Unreleased Instrumentals,,,,,,,,
Head In The Clouds II,"Lovin' You [Instrumental] [V1]
(prod. Aryay)
aka. Loving You","OG Filename: Rock vibes 78 BPM trap drums.wav
Original Beat for ""Lovin' You"".",0:49,,"Mar 29, 2026",Instrumental,OG File,"Lossless
(2116kbps)",Link
Head In The Clouds II,"Lovin' You [Instrumental] [V2]
(prod. Aryay)
aka. Loving You","OG Filename: Loving You - Inst 78 (11.02.18).mp3
Instrumental for ""Lovin' You"".",1:16,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Skeletons [Instrumental] [V1]
(prod. Aryay)","OG Filename: Skeletons instru.mp3
Original Instrumental for ""Skeletons"".",1:43,2018,"Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Skeletons [Instrumental] [V2]
(prod. Aryay)","OG Filename: Skeletons - Inst 100 (11.02.18).mp3
Instrumental for ""Skeletons"".",1:16,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Victor [Instrumental] [V1]
(prod. Aryay)","OG Filename: Victor sesh idea 1 73 BPM.mp3
Original Instrumental for ""Victor"".",2:34,2018,"Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Victor [Instrumental] [V2]
(prod. Aryay)","OG Filename: Victor Sesh - Inst 73 (11.02.18).mp3
Instrumental for ""Victor Sesh"".",2:18,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
Head In The Clouds II,"Who Made You God [Instrumental] [V1]
(prod. Aryay)
aka. God Complex","OG Filename: Who made you gd final mix instru 83bpm.wav
Original Beat for ""Who Made You"". It was later used in Anjulie's song ""God Complex"".",3:02,2018,"Mar 29, 2026",Instrumental,OG File,"Lossless
(2116kbps)",Link
Head In The Clouds II,"Who Made You [Instrumental] [V2]
(prod. Aryay)
aka. Who Made You God, God Complex","OG Filename: Who Made You - Inst 83 (11.02.18).mp3
Instrumental for ""Who Made You"".",1:09,"Nov 2, 2018","Mar 29, 2026",Instrumental,OG File,CD Quality,Link
"30 Full
0 Tagged
0 Partial
0 Snippet
2 Unavailable",Nectar,"(10/26/2018) (BALLADS 1 is released)
(09/25/2020) (Nectar is released)",,,"After the release of the ""BALLADS 1"" project, Joji would begin working with more and more producers and writers, and eventually leaving behind the lofi & trap sounds that many of us became used to over the years. There was lots of marketing in between the releases, which made the project very memorable as well. The project was announced on April 17th 2020, and was planned for release on July 10th 2020. However, on June 12th 2020, Joji announced that the album had been delayed to September 25th, 2020, citing the COVID-19 pandemic. A month after the project's release, Joji would do a paid virtual live stream titled ""The Extravaganza"" with live perfomances and comedic skits.",,,,
,Dolby Atmos Stems,,,,,,,,
Nectar,"Ew [Dolby Atmos Stems]
(prod. The Donuts & Bēkon)","Dolby Atmos Stems for ""Ew"".",3:28,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"MODUS [Dolby Atmos Stems]
(prod. STINT)
aka. Will Smith '99","Dolby Atmos Stems for ""MODUS"".",3:27,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Tick Tock [Dolby Atmos Stems]
(prod. West1ne)","Dolby Atmos Stems for ""Tick Tock"".",2:12,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Daylight [Dolby Atmos Stems]
(with. Diplo) (prod. Diplo, Maximilian Jaeger & Greg Kurstin)","Dolby Atmos Stems for ""Daylight"".",2:45,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Upgrade [Dolby Atmos Stems]
(prod. Tobias Karlsson, Rickard Göransson, James Ghaleb & Joji)","Dolby Atmos Stems for ""Upgrade"".",1:30,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Gimme Love [Dolby Atmos Stems]
(prod. The Donuts, Joji & Bēkon)","Dolby Atmos Stems for ""Gimme Love"".",3:37,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Run [Dolby Atmos Stems]
(prod. Joji & Justin Parker)","Dolby Atmos Stems for ""Run"".",3:20,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Sanctuary [Dolby Atmos Stems]
(prod. Justin Raisen)","Dolby Atmos Stems for ""Sanctuary"".",3:00,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"High Hopes [Dolby Atmos Stems]
(feat. Omar Apollo) (prod. The Donuts & Bēkon)","Dolby Atmos Stems for ""High Hopes"".",3:02,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"NITROUS [Dolby Atmos Stems]
(prod. Rogét Chahayed & Clams Casino)","Dolby Atmos Stems for ""NITROUS"". Has unused vocals that weren't in the final version.",2:11,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Pretty Boy [Dolby Atmos Stems]
(feat. Lil Yachty) (prod. Patrick Wimberly, John Durham & Joji)","Dolby Atmos Stems for ""Pretty Boy"".",2:37,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Normal People [Dolby Atmos Stems]
(feat. rei brown) (prod. Isaac Sleator & Joji)","Dolby Atmos Stems for ""Normal People"".",2:47,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Afterthought [Dolby Atmos Stems]
(with. BENEE) (prod. Isaac Sleator & Joji)","Dolby Atmos Stems for ""Afterthought"".",3:15,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Mr. Hollywood [Dolby Atmos Stems]
(prod. Kenny Beats, West1ne & Joji)","Dolby Atmos Stems for ""Mr. Hollywood"".",3:22,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"777 [Dolby Atmos Stems]
(prod. Suburban Plaza & Lentz Martin)","Dolby Atmos Stems for ""777"".",3:01,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Reanimator [Dolby Atmos Stems]
(feat. Yves Tumor) (prod. Reske & Yves Tumor)","Dolby Atmos Stems for ""Reanimator"".",3:03,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Like You Do [Dolby Atmos Stems]
(prod. Josh Taffel, Linden Jay & Kurtis McKenzie)","Dolby Atmos Stems for ""Like You Do"".",3:59,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
Nectar,"Your Man [Dolby Atmos Stems]
(prod. Jim-E Stack)","Dolby Atmos Stems for ""Your Man"".",2:43,"Sep 24, 2020","Sep 25, 2020",Dolby Atmos,Full,CD Quality,Link
,Instrumentals,,,,,,,,
Nectar,"Daylight [Instrumental]
(prod. Diplo, Maximilian Jaeger & Greg Kurstin)","Official Instrumental for ""Daylight"".",2:43,,2020,Instrumental,Full,CD Quality,Link
Nectar,"Upgrade [Instrumental]
(prod. Tobias Karlsson, Rickard Göransson, James Ghaleb & Joji)","Official Instrumental for ""Upgrade"". Used as background music for a video.",,,,Instrumental,Confirmed,Unavailable,Video
Nectar,"Gimme Love [Instrumental]
(prod. The Donuts, Joji & Bēkon)","OG Filename: JOJI - GIMME LOVE _rkMIX 6 - INST - LL - master
Official Instrumental for ""Gimme Love"". Released on DIGTRACKS on April 18th, 2020.
The final master for the instrumental was later leaked on November 24th, 2025.",3:34,"Apr 16, 2020","Nov 24, 2025",Instrumental,OG File,"Lossless
(1411kbps)",Link
Nectar,"Run [Instrumental]
(prod. Joji & Justin Parker)","Official Instrumental for ""Run"". Distributed in the same day of the song's release.",3:15,,"Feb 6, 2020",Instrumental,Full,"High Quality
(192kbps)",Link
Nectar,"Sanctuary [Instrumental]
(prod. Justin Raisen)","Official Instrumental for ""Sanctuary"". Distributed 3 days after the song's release.",3:00,,"Jun 17, 2019",Instrumental,Full,"Lossless
(1411kbps)",Link
Nectar,"Pretty Boy [Instrumental]
(prod. Patrick Wimberly, John Durham & Joji)","Official Instrumental for ""Pretty Boy"". Distributed 3 days after the song's release.",2:36,,"Sep 28, 2020",Instrumental,Full,"Lossless
(1411kbps)",Link
Nectar,"Mr. Hollywood [Instrumental] [V1]
(prod. Kenny Beats, West1ne & Joji)","OG Filename: Mr Hollywood JELLIS INSTRUMENTAL FOR MASTERING 
Unmastered Instrumental for ""Mr. Hollywood"".",3:22,,,Instrumental,Confirmed,Unavailable,
Nectar,"Mr. Hollywood [Instrumental] [V2]
(prod. Kenny Beats, West1ne & Joji)","OG Filename: Mr Hollywood JELLIS INSTRUMENTAL FOR MASTERING - HD MASTER
Official Instrumental for ""Mr. Hollywood"".",3:22,"Aug 31, 2020",,Instrumental,OG File,"Lossless
(2116kbps)",Link
Nectar,"Like You Do [Instrumental]
(prod. Josh Taffel, Linden Jay & Kurtis McKenzie)","Official Instrumental for ""Like You Do"".",4:00,,,Instrumental,Full,Lossless,Link
Nectar,"Your Man [Instrumental]
(prod. Jim-E Stack)","Official Instrumental for ""Your Man"". Distributed 3 days after the song's release.",2:43,,"Sep 28, 2020",Instrumental,Full,CD Quality,Link
Nectar,"Sunday [Instrumental]
(prod. WHIPPED CREAM)","OG Name: SUNDAY OG V 5
OG Filename: SUNDAY.wav
OG Filename (2): SUNDAY (1).wav
Instrumental for ""Sunday"". Privately uploaded to the producer's SoundCloud
on November 25th, 2018. Later reuploaded / rebounced on June 5th, 2020.",1:58,,"Jan 9, 2026",Instrumental,OG File,High Quality,Link
,Sessions,,,,,,,,
Nectar,"Sanctuary [Session]
(prod. Justin Raisen)","ProTools Session for ""Sanctuary"". Includes unused vocal takes.",3:00,"Apr 11, 2019","Feb 20, 2024",Session,Full,Lossless,Link
,Stems,,,,,,,,
Nectar,"Sanctuary [Stems]
(prod. Justin Raisen)","OG Filename: Joji.Sanctuary.48Stems.zip
48 Stems for ""Sanctuary"". Missing 17 Stems.",3:00,"Apr 26, 2019","Mar 3, 2024",Multitrack,Full,Lossless,Link
Nectar,"Like You Do [V4] [Stems]
(prod. Josh Taffel, Linden Jay & Kurtis McKenzie)","OG Filename: Jojiforjoe.Bpm.133.zip
Stems for the demo for ""Like You Do"". The stems have lots of static noise.",4:00,"Apr 24, 2020","Jan 3, 2025",Stems,Full,Lossless,Link
"33 Full
0 Tagged
0 Partial
0 Snippet
9 Unavailable",SMITHEREENS,"(09/25/2020) (Nectar is released)
(07/26/2022) (SMITHEREENS is finished)
(11/04/2022) (SMITHEREENS is released)",,,"After the release of ""Nectar"" and after the ""Nectar: The Finale"" tour had concluded, there was hiatus from Joji for six months before the release of the lead single ""Glimpse of Us"" which leaked days prior to the song's announcement, with the ""SMITHEREENS"" album releasing a few months later. The project has two discs, the first disc includes songs that Joji only wrote on and sang, but the second disc starts off with ""NIGHT RIDER"" which switches up the flow of the project, going from melancholic ballads to a trap beat with electronic-like elements. Sadly, the project continues with more songs that Joji only wrote on and sang like ""1AM FREESTYLE"", with the exception of ""YUKON (INTERLUDE)"".",,,,
,Acapellas,,,,,,,,
SMITHEREENS,"Glimpse of Us [Acapella] [V1]
(prod. Connor McDonough)","OG Filename: Glimpse Of Us JELLIS ACAPELLA FOR MASTERING.wav
Mixed Acapella for ""Glimpse of Us"".",3:53,"Apr 13, 2022","Nov 20, 2023",Acapella,OG File,Lossless,Link
SMITHEREENS,"Glimpse of Us [Acapella] [V2]
(prod. Connor McDonough)","Mastered Acapella for ""Glimpse of Us"".",3:53,2022,,Acapella,Confirmed,Unavailable,
SMITHEREENS,"Die For You [Acapella] [V1]
(prod. Jacob Ray, Wes Singerman & Taydex)","Possible OG Filename: Die For You JELLIS ACAPELLA MIX FOR MASTERING MIX A.wav
Mixed Acapella for ""Die For You"".",3:31,,,Acapella,Confirmed,Unavailable,
SMITHEREENS,"Die For You [Acapella] [V2]
(prod. Jacob Ray, Wes Singerman & Taydex)","OG Filename: Die For You JELLIS ACAPELLA MIX FOR MASTERING MIX B.wav
Mixed Acapella for ""Die For You"".",3:31,"Jul 23, 2022","Nov 20, 2023",Acapella,OG File,Lossless,Link
SMITHEREENS,"Die For You [Acapella] [V3]
(prod. Jacob Ray, Wes Singerman & Taydex)","Mastered Acapella for ""Die For You"".",3:31,2022,,Acapella,Confirmed,Unavailable,
SMITHEREENS,"Before The Day Is Over [Acapella] [V1]
(prod. Justin Parker)","OG Filename: Before The Day Is Over JELLIS ACAPELLA MIX FOR MASTERING.wav
Mixed Acapella for ""Before The Day Is Over"".",3:33,"May 26, 2022","Nov 20, 2023",Acapella,OG File,Lossless,Link
SMITHEREENS,"Before The Day Is Over [Acapella] [V2]
(prod. Justin Parker)","Mastered Acapella for ""Before The Day Is Over"".",3:33,2022,,Acapella,Confirmed,Unavailable,
,Dolby Atmos Stems,,,,,,,,
SMITHEREENS,"Glimpse of Us [Dolby Atmos Stems]
(prod. Connor McDonough)","Dolby Atmos Stems for ""Glimpse of Us"".",3:53,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"Feeling Like The End [Dolby Atmos Stems]
(prod. Tim Randolph & Whethan)","Dolby Atmos Stems for ""Feeling Like The End"".",1:42,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"Die For You [Dolby Atmos Stems]
(prod. Jacob Ray, Wes Singerman & Taydex)","Dolby Atmos Stems for ""Die For You"".",3:31,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"Before The Day Is Over [Dolby Atmos Stems]
(prod. Justin Parker)","Dolby Atmos Stems for ""Before The Day Is Over"".",3:33,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"Dissolve [Dolby Atmos Stems]
(prod. Benjamin Jacob Asher Bailey & Suburban Plaza)","Dolby Atmos Stems for ""Dissolve"".",2:57,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"NIGHT RIDER [Dolby Atmos Stems]
(prod. Joji)","Dolby Atmos Stems for ""NIGHT RIDER"".",2:07,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"BLAHBLAHBLAH DEMO [Dolby Atmos Stems]
(prod. Aaron Reyes & Wonton Jesus)
aka. BLAHBLAHBLAH","Dolby Atmos Stems for ""BLAHBLAHBLAH DEMO"".",2:22,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"YUKON (INTERLUDE) [Dolby Atmos Stems]
(prod. Joji & Isaac Sleator)","Dolby Atmos Stems for ""YUKON (INTERLUDE)"".",2:21,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
SMITHEREENS,"1AM FREESTYLE [Dolby Atmos Stems]
(prod. Bēkon, The Donuts & Daniel Krieger)
aka. 1AM","Dolby Atmos Stems for ""1AM FREESTYLE"".",1:53,,"Nov 4, 2022",Dolby Atmos,Full,CD Quality,Link
,Instrumentals,,,,,,,,
SMITHEREENS,"Glimpse of Us [Instrumental] [V1]
(prod. Connor McDonough)","OG Filename: Glimpse Of Us JELLIS INSTRUMENTAL FOR MASTERING.wav
Mixed Instrumental for ""Glimpse of Us"".",3:53,"Apr 13, 2022","Nov 20, 2023",Instrumental,OG File,Lossless,Link Needed!
SMITHEREENS,"Glimpse of Us [Instrumental] [V2]
(prod. Connor McDonough)","OG Filename: Joji - Glimpse of Us (Instrumental).flac
Official Instrumental for ""Glimpse of Us"". Released on DJ services.
Later leaked in higher quality from Warner Music Group on November 11th, 2022.",3:53,2022,"Jun 14, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"Feeling Like The End [Instrumental]
(prod. Tim Randolph & Whethan)","OG Filename: 24b-INST_02_J_Feeling Like The End (TH MIX 2pt0)_BECKER MASTER.wav
OG Filename (Metadata): J_Feeling Like The End (TH MIX 2pt0)_BECKER MASTER
Official Instrumental for ""Feeling Like The End"". Leaked from Warner Music Group.",1:42,"Jul 26, 2022","Nov 11, 2022",Instrumental,OG File,Lossless,"Link #1
Link #2"
SMITHEREENS,"Die For You [Instrumental] [V1]
(prod. Jacob Ray, Wes Singerman & Taydex)","Possible OG Filename: Die For You JELLIS INSTRUMENTAL FOR MASTERING MIX A.wav
Unmastered Instrumental for ""Die For You"".",3:31,,,Instrumental,Confirmed,Unavailable,
SMITHEREENS,"Die For You [Instrumental] [V1]
(prod. Jacob Ray, Wes Singerman & Taydex)","OG Filename: Die For You JELLIS INSTRUMENTAL FOR MASTERING MIX B.wav
Mixed Instrumental for ""Die For You"".",3:31,"Jul 23, 2022","Nov 20, 2023",Instrumental,OG File,Lossless,Link Needed!
SMITHEREENS,"Die For You [Instrumental] [V2]
(prod. Jacob Ray, Wes Singerman & Taydex)","OG Filename: Joji - Die For You (Instrumental).flac
Official Instrumental for ""Die For You"". Leaked from Warner Music Group.",3:31,2022,"Nov 11, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"Before The Day Is Over [Instrumental] [V1]
(prod. Justin Parker)","OG Filename: Before The Day Is Over JELLIS INSTRUMENTAL FOR MASTERING.wav
Mixed Instrumental for ""Before The Day Is Over"".",3:33,"May 26, 2022","Nov 20, 2023",Instrumental,OG File,Lossless,Link Needed!
SMITHEREENS,"Before The Day Is Over [Instrumental] [V2]
(prod. Justin Parker)","OG Filename: Joji - Before The Day Is Over (Instrumental).flac
Official Instrumental for ""Before The Day Is Over"". Leaked from Warner Music Group.",3:33,2022,"Nov 11, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"Dissolve [Instrumental]
(prod. Benjamin Jacob Asher Bailey & Suburban Plaza)","OG Filename: Joji - Dissolve (Instrumental).flac
Official Instrumental for ""Dissolve"". Leaked from Warner Music Group.",2:57,,"Nov 11, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"NIGHT RIDER [Instrumental]
(prod. Joji)","OG Filename: Joji - Night Rider (Instrumental).flac
Official Instrumental for ""NIGHT RIDER"". Leaked from Warner Music Group.",2:07,,"Nov 11, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"BLAHBLAHBLAH DEMO [Instrumental]
(prod. Aaron Reyes & Wonton Jesus)
aka. BLAHBLAHBLAH","OG Filename: Joji - BLAHBLAHBLAH (Instrumental).flac
Official Instrumental for ""BLAHBLAHBLAH DEMO"". Leaked from Warner Music Group.",2:22,,"Nov 4, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"YUKON (INTERLUDE) [Instrumental]
(prod. Joji & Isaac Sleator)","OG Filename: Joji - Yukon Interlude (Instrumental).flac
Official Instrumental for ""YUKON (INTERLUDE)"".
Originally published to DJ websites on September 1st, 2022, and
later leaked from Warner Music Group on November 11th, 2022.",2:21,,"Sep 1, 2022",Instrumental,Full,Lossless,Link
SMITHEREENS,"1AM FREESTYLE [Instrumental]
(prod. Bēkon, The Donuts & Daniel Krieger)
aka. 1AM","OG Filename: 24b-INST_09_J_1AM Freestyle (One AM TH MIX 3pt0)_BECKER LP MASTER.wav
OG Filename (Metadata): J_1AM Freestyle (One AM TH MIX 3pt0)_BECKER LP MASTER
OG Filename (2): Joji - Freestyle (Instrumental).flac
Official Instrumental for ""1AM FREESTYLE"". Leaked from Warner Music Group.",1:53,"Jul 26, 2022","Nov 11, 2022",Instrumental,OG File,Lossless,"Link #1
Link #2"
SMITHEREENS,"Bonobo - From You [Instrumental]
(prod. Bonobo)","Official Instrumental for ""From You"" by Bonobo.",3:29,,"Aug 25, 2025",Instrumental,Full,CD Quality,Link
SMITHEREENS,"Lil Yachty - Thune [Instrumental]
(prod. Diplo*)","OG Filename: thune__INST BUSS-St.wav
Instrumental for ""Thune"".",3:43,"Nov 3, 2021","Jan 3, 2025",Instrumental,OG File,Lossless,Link
SMITHEREENS,"Lil Yachty - Thune [Multitrack]
(feat. Joji) (prod. Diplo*)","Multitracks for ""Thune"" by Lil Yachty featuring Joji.",3:43,"Nov 3, 2021","Jan 3, 2025",Multitrack,Full,Lossless,Link
,Sessions,,,,,,,,
